yyyymm,buy_index,sgg,rent_index,cpi,pir,move_population,subway,department_store,apart_brand,marry,unsold
201001,88.9,강북구,58.7,104.56,23.3,-117,3,1,0,2142,0
201002,89,강북구,59,76.56,24.2,-198,3,1,0,2142,0
201003,89.2,강북구,59.1,81.188,25.3,-396,3,1,0,2142,0
201004,88.9,강북구,59.5,87.901,28,-211,3,1,0,2142,0
201005,88.4,강북구,59.6,94.292,26.1,-287,3,1,2,2142,0
201006,87.9,강북구,59.9,98.538,22.2,463,3,1,2,2142,0
201007,87.5,강북구,59.7,100.76,21,356,3,1,2,2142,0
201008,87.5,강북구,59.7,104.77,23.8,135,3,1,2,2142,0
201009,87.5,강북구,60,77.987,24.9,-52,3,1,2,2142,0
201010,87,강북구,60.3,82.436,25.2,-98,3,1,2,2142,0
201011,86.6,강북구,60.7,88.974,26.1,-216,3,1,2,2142,0
201012,86.5,강북구,60.8,95.744,25.6,-128,3,1,2,2142,0
201101,86.5,강북구,60.8,99.133,21,-51,3,1,2,2122,0
201102,86.6,강북구,62.4,102.77,20.9,2,3,1,2,2122,0
201103,86.5,강북구,63.9,105.31,25.5,-102,3,1,2,2122,0
201104,86.5,강북구,64.4,78.221,27.4,-204,3,1,2,2122,0
201105,86.5,강북구,64.7,84.076,27.4,-136,3,1,2,2122,0
201106,86.5,강북구,64.8,89.965,29.5,-156,3,1,2,2122,0
201107,86.4,강북구,65.7,96.185,25.3,-122,3,1,2,2122,0
201108,86.2,강북구,67.2,99.47,21.6,-230,3,1,2,2122,0
201109,85.9,강북구,68.2,103.28,23.4,-240,3,1,2,2122,65
201110,85.9,강북구,68.9,74.728,27.2,-182,3,1,2,2122,65
201111,85.8,강북구,69.2,79.626,23.1,-153,3,1,2,2122,75
201112,85.7,강북구,69.2,86.106,29.7,26,3,1,2,2122,74
201201,85.6,강북구,69.1,92.039,28,150,3,1,2,2207,73
201202,85.5,강북구,69.2,97.069,23.5,229,3,1,2,2207,74
201203,85.4,강북구,69.3,100.36,20.8,-138,3,1,2,2207,71
201204,84.8,강북구,69.4,103.57,23.4,-122,3,1,2,2207,71
201205,84.4,강북구,69.5,76.233,26.6,-101,3,1,2,2207,68
201206,84.3,강북구,69.5,79.861,24.3,-259,3,1,2,2207,68
201207,83.4,강북구,69.7,87.355,28.6,-225,3,1,2,2207,68
201208,83,강북구,69.8,93.842,29.1,-220,3,1,2,2207,68
201209,82.8,강북구,70.1,97.429,23.9,-204,3,1,2,2207,68
201210,82.2,강북구,70.3,100.71,22.2,-291,3,1,2,2207,65
201211,81.6,강북구,70.4,104.15,24,-332,3,1,2,2207,64
201212,81.2,강북구,70.5,77.362,27.2,-307,3,1,2,2207,64
201301,81,강북구,70.5,81.656,24.3,-155,3,1,2,1975,63
201302,80.3,강북구,71.1,88.214,30.3,-174,3,1,2,1975,63
